name_ascii,name_diacritics,designation,id,id_greek,con,num,wsd_j,mag,bnd,hip,hd,ra,dec,date
Nekkar,Nekkar,HR5602,bet,β,Boo,,,3.49,V,73555,133208,225.486510,40.390567,2016-08-21
Nembus,Nembus,HR464,51,51,And,,,3.59,V,7607,9927,24.498154,48.628214,2017-09-05
Nenque,Nenque,HD6434,,,Phe,,,7.72,V,5054,6434,16.167293,-39.488218,2019-12-17
Nervia,Nervia,HD49674,,,Aur,A,06515+4052,8.10,V,32916,49674,102.877151,40.867757,2019-12-17
Nganurganity,Nganurganity,HR2646,sig,σ,CMa,,07017-2756,3.49,V,33856,52877,105.429782,-27.934830,2017-09-05
Nihal,Nihal,HR1829,bet,β,Lep,A,05282-2046,2.83,V,25606,36079,82.061346,-20.759441,2016-07-20
Nikawiy,Nikawiy,HD136418,,,Boo,,,7.88,V,74961,136418,229.775760,41.733206,2019-12-17
Nosaxa,Nosaxa,HD48265,,,Pup,,,8.05,V,31895,48265,100.007196,-48.541956,2019-12-17
Nunki,Nunki,HR7121,sig,σ,Sgr,Aa,18553-2618,2.05,V,92855,175191,283.816360,-26.296724,2016-08-21
Nusakan,Nusakan,HR5747,bet,β,CrB,A,15278+2906,3.90,V,75695,137909,231.957211,29.105699,2016-09-12
Nushagak,Nushagak,HD17156,,,Cas,,,8.17,V,13192,17156,42.435361,71.753231,2019-12-17
Nyamien,Nyamien,WASP-15,,,Cen,,13557-3210,10.80,G,,,208.927967,-32.159615,2019-12-17
Ogma,Ogma,HD149026,,,Her,,,8.16,V,80838,149026,247.623409,38.347311,2015-12-15
Okab,Okab,HR7235,zet,ζ,Aql,A,19054+1352,2.99,V,93747,177724,286.352533,13.863477,2018-06-01
Paikauhale,Paikauhale,HR6165,tau,τ,Sco,A,16359-2813,2.82,V,81266,149438,248.970637,-28.216017,2018-08-10
Parumleo,Parumleo,WASP-32,,,Psc,,,11.41,G,,,003.961699,1.200441,2019-12-17
Peacock,Peacock,HR7790,alf,α,Pav,Aa,20256-5644,1.94,V,100751,193924,306.411904,-56.735090,2016-07-20
Petra,Petra,WASP-80,,,Aql,,20127-0209,11.27,G,,,303.167372,-2.144220,2019-12-17
Phact,Phact,HR1956,alf,α,Col,,05396-3404,2.65,V,26634,37795,84.912254,-34.074110,2016-07-20
Phecda,Phecda,HR4554,gam,γ,UMa,Aa,11538+5342,2.41,V,58001,103287,178.457679,53.694758,2016-07-20
Pherkad,Pherkad,HR5735,gam,γ,UMi,,,3.00,V,75097,137422,230.182150,71.834017,2016-08-21
Phoenicia,Phoenicia,HD192263,V1703,V1703,Aql,,20140-0052,7.79,V,99711,192263,303.499356,-0.866881,2019-12-17
Piautos,Piautos,HR3268,lam,λ,Cnc,A,,5.92,V,40881,70011,125.133901,24.022311,2018-06-01
Pincoya,Pincoya,HD164604,,,Sgr,,,9.66,V,88414,164604,270.778888,-28.560655,2019-12-17
Pipirima,Pipirima,HR6252,mu02,μ2,Sco,A,16523-3801,3.56,V,82545,151985,253.083939,-38.017535,2017-09-05
Pipoltr,Pipoltr,TrES-3,V1434,V1434,Her,,,12.20,G,,,268.029244,37.546177,2019-12-17
Pleione,Pleione,HR1180,28,28,Tau,Aa,03492+2408,5.05,V,17851,23862,57.296738,24.136710,2016-06-30
Poerava,Poerava,HD221287,,,Tuc,,,7.82,V,116084,221287,352.834742,-58.209731,2019-12-17
Polaris,Polaris,HR424,alf,α,UMi,Aa,02318+8916,2.13,V,11767,8890,37.954561,89.264109,2016-06-30
PolarisAustralis,PolarisAustralis,HR7228,sig,σ,Oct,,,5.45,V,104382,177482,317.195164,-88.956499,2017-09-05
Polis,Polis,HR6812,mu,μ,Sgr,Aa,18138-2104,3.84,V,89341,166937,273.440870,-21.058832,2017-09-05
Pollux,Pollux,HR2990,bet,β,Gem,,07453+2802,1.16,V,37826,62509,116.328958,28.026199,2015-12-15
Porrima,Porrima,HR4825,gam,γ,Vir,A,12417-0127,3.44,V,61941,110379,190.415181,-1.449373,2016-07-20
Praecipua,Praecipua,HR4247,46,46,LMi,,,3.79,V,53229,94264,163.327937,34.214872,2017-06-30
PrimaHyadum,PrimaHyadum,HR1346,gam,γ,Tau,A,04198+1538,3.65,V,20205,27371,64.948349,15.627643,2017-09-05
Procyon,Procyon,HR2943,alf,α,CMi,A,07393+0514,0.40,V,37279,61421,114.825493,5.224993,2016-06-30
Propus,Propus,HR2216,eta,η,Gem,A,06149+2230,3.32,V,29655,42995,93.719405,22.506794,2016-07-20
ProximaCentauri,ProximaCentauri,GJ551,alf,α,Cen,C,14396-6050,11.01,V,70890,999999,217.428953,-62.679484,2016-08-21
Ran,Ran,HR1084,eps,ε,Eri,,03329-0927,3.73,V,16537,22049,53.232687,-9.458259,2015-12-15
Rana,Rana,HR1136,del,δ,Eri,,,3.53,V,17378,23249,55.812086,-9.763392,2022-04-04
Rapeto,Rapeto,HD153950,,,Sco,,,7.39,V,83547,153950,256.128629,-43.309770,2019-12-17
Rasalas,Rasalas,HR3905,mu,μ,Leo,,,3.88,V,48455,85503,148.190903,26.006953,2016-09-12
Rasalgethi,Rasalgethi,HR6406,alf01,α1,Her,Aa,17146+1423,3.37,V,84345,156014,258.661910,14.390333,2016-06-30
Rasalhague,Rasalhague,HR6556,alf,α,Oph,A,17349+1234,2.08,V,86032,159561,263.733627,12.560035,2016-07-20
Rastaban,Rastaban,HR6536,bet,β,Dra,A,17304+5218,2.79,V,85670,159181,262.608174,52.301389,2016-08-21
Regulus,Regulus,HR3982,alf,α,Leo,A,10084+1158,1.36,V,49669,87901,152.092962,11.967209,2016-06-30
Revati,Revati,HR361,zet,ζ,Psc,A,01137+0735,5.21,V,5737,7344,18.432864,7.575354,2017-06-30
Rigel,Rigel,HR1713,bet,β,Ori,A,05145-0812,0.18,V,24436,34085,78.634467,-8.201638,2016-06-30
RigilKentaurus,RigilKentaurus,HR5459,alf,α,Cen,A,14396-6050,-0.01,V,71683,128620,219.902066,-60.833975,2016-11-06
Rosaliadecastro,Rosalíadecastro,HD149143,,,Oph,,,7.89,V,81022,149143,248.212712,2.084828,2019-12-17
Rotanev,Rotanev,HR7882,bet,β,Del,A,20375+1436,3.64,V,101769,196524,309.387235,14.595115,2016-09-12
Ruchbah,Ruchbah,HR403,del,δ,Cas,Aa,01258+6014,2.66,V,6686,8538,21.453964,60.235284,2016-08-21
Rukbat,Rukbat,HR7348,alf,α,Sgr,,,3.96,V,95347,181869,290.971570,-40.615940,2016-07-20
Sabik,Sabik,HR6378,eta,η,Oph,A,17104-1544,2.43,V,84012,155125,257.594529,-15.724907,2016-08-21
Saclateni,Saclateni,HR1612,zet,ζ,Aur,A,05025+4105,3.69,V,23453,32068,75.619531,41.075839,2017-06-30
Sadachbia,Sadachbia,HR8518,gam,γ,Aqr,Aa,22217-0123,3.86,V,110395,212061,335.414064,-1.387334,2016-08-21
Sadalbari,Sadalbari,HR8684,mu,μ,Peg,,,3.51,V,112748,216131,342.500809,24.601577,2016-08-21
Sadalmelik,Sadalmelik,HR8414,alf,α,Aqr,A,22058-0019,2.95,V,109074,209750,331.445983,-0.319849,2016-08-21
Sadalsuud,Sadalsuud,HR8232,bet,β,Aqr,A,21316-0534,2.90,V,106278,204867,322.889715,-5.571176,2016-08-21
Sadr,Sadr,HR7796,gam,γ,Cyg,A,20222+4015,2.23,V,100453,194093,305.557091,40.256679,2016-08-21
Sagarmatha,Sagarmatha,HD100777,,,Leo,,,8.42,V,56572,100777,173.964679,-04.755695,2019-12-17
Saiph,Saiph,HR2004,kap,κ,Ori,,,2.07,V,27366,38771,86.939120,-9.669605,2016-07-20
Salm,Salm,HR8880,tau,τ,Peg,,,4.58,V,115250,220061,350.159341,23.740336,2017-09-05
Samaya,Sāmaya,HD205739,,,PsA,,,8.56,V,106824,205739,324.535016,-31.737484,2019-12-17
Sansuna,Sansuna,HAT-P-34,,,Sge,,20127+1806,10.31,V,,,303.195361,18.104833,2019-12-17
Sargas,Sargas,HR6553,tet,θ,Sco,A,17373-4300,1.86,V,86228,159532,264.329711,-42.997824,2016-08-21
Sarin,Sarin,HR6410,del,δ,Her,Aa,17150+2450,3.12,V,84379,156164,258.757963,24.839204,2016-09-12
Sceptrum,Sceptrum,HR1481,53,53,Eri,A,04382-1418,4.02,V,21594,29503,69.545104,-14.304017,2017-06-30
Scheat,Scheat,HR8775,bet,β,Peg,,23038+2805,2.44,V,113881,217906,345.943572,28.082785,2016-06-30
Schedar,Schedar,HR168,alf,α,Cas,,00405+5632,2.24,V,3179,3712,10.126838,56.537331,2016-08-21
SecundaHyadum,SecundaHyadum,HR1373,del01,δ1,Tau,Aa,04230+1732,3.78,V,20455,27697,65.733719,17.542514,2017-09-05
Segin,Segin,HR0542,eps,ε,Cas,,,3.35,V,8886,11415,28.598857,63.670101,2017-09-05
Seginus,Seginus,HR5435,gam,γ,Boo,Aa,14321+3818,3.04,V,71075,127762,218.019466,38.308251,2016-08-21
Sham,Sham,HR7479,alf,α,Sge,,19401+1801,4.39,V,96757,185758,295.024133,18.013891,2016-09-12
Shama,Shama,HD99109,,,Leo,,,9.10,V,55664,99109,171.072328,-1.529073,2019-12-17
Sharjah,Sharjah,HIP79431,,,Sco,,,11.34,V,79431,,243.174084,-18.875503,2019-12-17
Shaula,Shaula,HR6527,lam,λ,Sco,Aa,17336-3706,2.08,V,85927,158926,263.402167,-37.103824,2016-07-20
Sheliak,Sheliak,HR7106,bet,β,Lyr,Aa1,18501+3322,3.60,V,92420,174638,282.519978,33.362668,2016-08-21
Sheratan,Sheratan,HR553,bet,β,Ari,A,01546+2049,2.70,V,8903,11636,28.660046,20.808031,2016-07-20
Sika,Sika,HD181720,,,Sgr,,,7.84,V,95262,181720,290.720770,-32.919053,2019-12-17
Sirius,Sirius,HR2491,alf,α,CMa,A,06451-1643,-1.45,V,32349,48915,101.287155,-16.716116,2016-06-30
Situla,Situla,HR8610,kap,κ,Aqr,A,22378-0414,5.04,V,111710,214376,339.439084,-4.228056,2016-09-12
Skat,Skat,HR8709,del,δ,Aqr,A,,3.27,V,113136,216627,343.662556,-15.820827,2016-08-21
Solaris,Solaris,BD+144559,,,Peg,,,9.78,V,104780,,318.399959,14.689385,2019-12-17
Spica,Spica,HR5056,alf,α,Vir,Aa,13252-1110,0.98,V,65474,116658,201.298247,-11.161319,2016-06-30
Sterrennacht,Sterrennacht,HAT-P-6,,,And,,,10.54,V,,,354.774209,42.465973,2019-12-17
Stribor,Stribor,HD75898,,,Lyn,,,8.03,V,43674,75898,133.461689,33.056812,2019-12-17
Sualocin,Sualocin,HR7906,alf,α,Del,Aa,20396+1555,3.86,V,101958,196867,309.909530,15.912073,2016-09-12
Subra,Subra,HR3852,omi,ο,Leo,Aa,09412+0954,3.52,V,47508,83808,145.287640,9.892308,2016-09-12
Suhail,Suhail,HR3634,lam,λ,Vel,,09080-4326,2.23,V,44816,78647,136.998993,-43.432589,2016-08-21
Sulafat,Sulafat,HR7178,gam,γ,Lyr,,18589+3241,3.25,V,93194,176437,284.735928,32.689557,2016-08-21
Syrma,Syrma,HR5338,iot,ι,Vir,,,4.07,V,69701,124850,214.003623,-6.000545,2016-09-12
Tabit,Tabit,HR1543,pi03,π3,Ori,,04498+0658,3.19,V,22449,30652,72.460045,6.961275,2017-09-05
Taika,Taika,HAT-P-40,,,Lac,,,11.35,V,,,335.512865,45.457366,2019-12-17
Taiyangshou,Taiyangshou,HR4518,chi,χ,UMa,,,3.69,V,57399,102224,176.512559,47.779406,2017-06-30
Taiyi,Taiyi,HR4916,8,8,Dra,,,5.23,V,63076,112429,193.868951,65.438474,2017-06-30
Talitha,Talitha,HR3569,iot,ι,UMa,Aa,08592+4803,3.12,V,44127,76644,134.801890,48.041826,2016-07-20
Tangra,Tangra,WASP-21,,,Peg,,,11.40,G,,,347.492723,18.396078,2019-12-17
TaniaAustralis,TaniaAustralis,HR4069,mu,μ,UMa,A,,3.06,V,50801,89758,155.582250,41.499519,2016-07-20
TaniaBorealis,TaniaBorealis,HR4033,lam,λ,UMa,A,,3.45,V,50372,89021,154.274095,42.914356,2016-07-20
Tapecue,Tapecue,HD63765,,,Car,,,8.10,V,38041,63765,116.957168,-54.264144,2019-12-17
Tarazed,Tarazed,HR7525,gam,γ,Aql,,19463+1037,2.72,V,97278,186791,296.564915,10.613262,2016-08-21
Tarf,Tarf,HR3249,bet,β,Cnc,A,08165+0911,3.53,V,40526,69267,124.128838,9.185544,2018-06-01
Taygeta,Taygeta,HR1145,19,19,Tau,Aa,03452+2428,4.30,V,17531,23338,56.302063,24.467270,2016-08-21
Tegmine,Tegmine,HR3208,zet01,ζ1,Cnc,A,08122+1739,5.24,V,40167,68255,123.053168,17.647801,2016-09-12
Tejat,Tejat,HR2286,mu,μ,Gem,Aa,06230+2231,2.87,V,30343,44478,95.740112,22.513583,2017-02-01
Terebellum,Terebellum,HR7597,ome,ω,Sgr,A,,4.70,V,98066,188376,298.959838,-26.299534,2017-09-05
Tevel,Tevel,HAT-P-9,,,Aur,,,12.15,G,,,110.168568,37.140651,2019-12-17
Theemin,Theemin,HR1464,ups02,υ2,Eri,,,3.81,V,21393,29291,68.887660,-30.562341,2017-02-01
Thuban,Thuban,HR5291,alf,α,Dra,A,14044+6423,3.67,V,68756,123299,211.097291,64.375851,2016-06-30
Tiaki,Tiaki,HR8636,bet,β,Gru,,,2.12,V,112122,214952,340.666876,-46.884576,2017-09-05
Tianguan,Tianguan,HR1910,zet,ζ,Tau,A,,2.97,V,26451,37202,84.411189,21.142544,2017-06-30
Tianyi,Tianyi,HR4863,7,7,Dra,,,5.43,V,62423,111335,191.893099,66.790305,2017-06-30
Timir,Timir,HD148427,,,Oph,,,6.89,V,80687,148427,247.117296,-13.399636,2019-12-17
Tislit,Tislit,WASP-161,,,Pup,,,10.77,V,,,126.337846,-11.500986,2019-12-17
Titawin,Titawin,HR458,ups,υ,And,A,01368+4124,4.09,V,7513,9826,24.199342,41.405457,2015-12-15
Tojil,Tojil,WASP-22,,,Eri,,03313-2349,11.58,G,,,052.818029,-23.819678,2019-12-17
Toliman,Toliman,HR5460,alf,α,Cen,B,14396-6050,1.35,V,71681,128621,219.896096,-60.837528,2018-08-10
Tonatiuh,Tonatiuh,HR4609,,,Cam,,,5.80,V,58952,104985,181.312995,76.905735,2015-12-15
Torcular,Torcular,HR510,omi,ο,Psc,A,01454+0909,4.29,V,8198,10761,26.348466,9.157737,2017-09-05
Tuiren,Tuiren,HAT-P-36,,,CVn,,,12.09,G,,,188.266276,44.915333,2019-12-17
Tupa,Tupã,HD108147,,,Cru,,12258-6401,6.99,V,60644,108147,186.442779,-64.022088,2019-12-17
Tupi,Tupi,HD23079,,,Ret,,,7.12,V,17096,23079,54.929567,-52.915838,2019-12-17
Tureis,Tureis,HR3185,rho,ρ,Pup,A,08075-2418,2.83,V,39757,67523,121.886037,-24.304324,2016-09-12
Ukdah,Ukdah,HR3845,iot,ι,Hya,,,3.90,V,47431,83618,144.964008,-1.142810,2018-06-01
Uklun,Uklun,HD102117,,,Cen,,,7.47,V,57291,102117,176.210254,-58.703710,2019-12-17
Unukalhai,Unukalhai,HR5854,alf,α,Ser,,15443+0626,2.63,V,77070,140573,236.066976,6.425629,2016-08-21
Uruk,Uruk,HD231701,,,Sge,,,8.97,V,96078,231701,293.017338,16.474289,2019-12-17
Vega,Vega,HR7001,alf,α,Lyr,,18369+3846,0.03,V,91262,172167,279.234735,38.783689,2016-06-30
Veritate,Veritate,HR8930,14,14,And,A,23313+3914,5.22,V,116076,221345,352.822556,39.236197,2015-12-15
Vindemiatrix,Vindemiatrix,HR4932,eps,ε,Vir,,13022+1058,2.85,V,63608,113226,195.544157,10.959149,2016-07-20
Wasat,Wasat,HR2777,del,δ,Gem,Aa,07201+2159,3.52,V,35550,56986,110.030749,21.982316,2016-08-21
Wazn,Wazn,HR2040,bet,β,Col,,05510-3546,3.12,V,27628,39425,87.739968,-35.768310,2016-07-20
Wezen,Wezen,HR2693,del,δ,CMa,Aa,07084-2624,1.83,V,34444,54605,107.097850,-26.393200,2016-07-20
Wurren,Wurren,HR338,zet,ζ,Phe,Aa,01084-5515,4.02,V,5348,6882,17.096173,-55.245758,2017-11-17
Xamidimura,Xamidimura,HR6247,mu01,μ1,Sco,Aa,16519-3803,3.00,V,82514,151890,252.967630,-38.047380,2017-09-05
Xihe,Xihe,HD173416,,,Lyr,,,6.04,V,91852,173416,280.900456,36.556606,2019-12-17
Xuange,Xuange,HR5351,lam,λ,Boo,,14164+4605,4.18,V,69732,125162,214.095912,46.088306,2017-06-30
YedPosterior,YedPosterior,HR6075,eps,ε,Oph,,16183-0442,3.23,V,79882,146791,244.580374,-4.692510,2016-10-05
YedPrior,YedPrior,HR6056,del,δ,Oph,,16143-0342,2.73,V,79593,146051,243.586411,-3.694323,2016-10-05
Yildun,Yildun,HR6789,del,δ,UMi,,17322+8635,4.35,V,85822,166205,263.054126,86.586462,2016-08-21
Zaniah,Zaniah,HR4689,eta,η,Vir,Aa,12199-0040,4.60,V,60129,107259,184.976476,-0.666793,2016-09-12
Zaurak,Zaurak,HR1231,gam,γ,Eri,,03580-1331,2.97,V,18543,25025,59.507360,-13.508516,2016-07-20
Zavijava,Zavijava,HR4540,bet,β,Vir,,11507+0146,3.59,V,57757,102870,177.673826,1.764717,2016-08-21
Zhang,Zhang,HR3903,ups01,υ1,Hya,A,,4.11,V,48356,85444,147.869558,-14.846603,2017-06-30
Zibal,Zibal,HR984,zet,ζ,Eri,Aa,03158-0849,4.80,V,15197,20320,48.958436,-8.819731,2016-09-12
Zosma,Zosma,HR4357,del,δ,Leo,,11141+2031,2.56,V,54872,97603,168.527089,20.523718,2016-07-20
Zubenelgenubi,Zubenelgenubi,HR5531,alf02,α2,Lib,Aa,14509-1603,2.75,V,72622,130841,222.719638,-16.041777,2016-08-21
Zubenelhakrabi,Zubenelhakrabi,HR5787,gam,γ,Lib,A,15355-1447,3.91,V,76333,138905,233.881578,-14.789536,2017-09-05
Zubeneschamali,Zubeneschamali,HR5685,bet,β,Lib,,,2.61,V,74785,135742,229.251724,-9.382914,2016-08-21